year,capex_specific_conversion
2022,1550.0
2023,1550.0
2024,1550.0
2025,1550.0
2026,1540.0
2027,1530.0
2028,1520.0
2029,1510.0
2030,1500.0
2031,1490.0
2032,1480.0
2033,1470.0
2034,1460.0
2035,1450.0
2036,1440.0
2037,1430.0
2038,1420.0
2039,1410.0
2040,1400.0
2041,1395.0
2042,1390.0
2043,1385.0
2044,1380.0
2045,1375.0
2046,1370.0
2047,1365.0
2048,1360.0
2049,1355.0
2050,1350.0
