node,capacity_limit
AT,0.2554705302793166
BE,0.4236140823956194
BG,0.20165126180684725
CH,0.23288025183462807
CZ,0.2306120802548043
DE,1.5791883865731884
DK,0.15929206790039308
EE,0.007300278319235857
EL,0.019848713755843506
ES,1.1551201020304873
FI,0.15703284544765309
FR,1.3990900202574605
HR,0.09039391748276042
HU,0.10272614907293295
IE,0.09860316008496754
IT,1.5536920242918166
LT,0.02098761425718347
LU,0.0045114922851426055
LV,0.04580648855864984
NL,0.16699928567964878
NO,0.0964309743908153
PL,0.5936661673864196
PT,0.33648657154590783
RO,0.09638953952927462
SE,0.13982320331699105
SI,0.06635748198209507
SK,0.07140781916502598
UK,1.2456860467038888
