node,capacity_addition_max
AT,0.4789906083081152
BE,0.8298019573225344
BG,0.3991948034856596
CH,0.4645457493957901
CZ,0.4515683732330982
DE,3.0229458734437973
DK,0.31124544340313764
EE,0.013316536002436055
EL,0.036623967761044623
ES,2.254427142040414
FI,0.2310194990993796
FR,2.745072873725835
HR,0.177961611955958
HU,0.1978553123143313
IE,0.19284968358024457
IT,3.0537310534710818
LT,0.04029305132665431
LU,0.008661467655283013
LV,0.09092023741880843
NL,0.3038485900057947
NO,0.1923282066394317
PL,1.1507420198250928
PT,0.6480593612833294
RO,0.18636655912883957
SE,0.1816859787087043
SI,0.12961325164315501
SK,0.13391418278209125
UK,2.479649402277944
