node,demand
AT,668.9867591677258
BE,317.07338551859095
BG,71.56095165615713
CH,0.0
CZ,173.88474167564516
DE,2524.8846172730396
DK,20.26091992426774
EE,24.30835347837765
EL,45.73929794520548
ES,909.9603592754278
FI,1798.6695408293351
FR,925.2037792674636
HR,56.58345349675558
HU,128.22023999150474
IE,8.219178082191782
IT,1098.2312246565448
LT,18.113458611403814
LU,5.942546162754147
LV,5.0228310502283104
NO,0.0
PL,734.943398021309
PT,528.8197183772025
RO,99.3926282051282
SE,2111.8721461187215
SI,65.10694544580629
SK,185.3927900029146
UK,0.0
