year,capex_specific_conversion
2022,3780000.0
2023,3520000.0
2024,3260000.0
2025,3000000.0
2026,2900000.0
2027,2800000.0
2028,2700000.0
2029,2600000.0
2030,2500000.0
2031,2460000.0
2032,2420000.0
2033,2380000.0
2034,2340000.0
2035,2300000.0
2036,2260000.0
2037,2220000.0
2038,2180000.0
2039,2140000.0
2040,2100000.0
2041,2090000.0
2042,2080000.0
2043,2070000.0
2044,2060000.0
2045,2050000.0
2046,2040000.0
2047,2030000.0
2048,2020000.0
2049,2010000.0
2050,2000000.0
