year,opex_specific_variable
2022,1.45
2023,1.45
2024,1.45
2025,1.45
2026,1.45
2027,1.45
2028,1.45
2029,1.45
2030,1.45
2031,1.45
2032,1.45
2033,1.45
2034,1.45
2035,1.45
2036,1.45
2037,1.45
2038,1.45
2039,1.45
2040,1.45
2041,1.45
2042,1.45
2043,1.45
2044,1.45
2045,1.45
2046,1.45
2047,1.45
2048,1.45
2049,1.45
2050,1.45
