node,capacity_limit
AT,0.7357650538049768
BE,1.2406906668425213
BG,0.5815316647943173
CH,0.7337318986723511
CZ,0.6252025625042701
DE,4.271314109740952
DK,0.520139368309613
EE,0.019343640602495153
EL,0.031256281181664194
ES,3.3277203679808203
FI,0.31803494230876983
FR,4.345808485804805
HR,0.28805824603812924
HU,0.2762811783031757
IE,0.31296076385730953
IT,4.453526812423412
LT,0.060116397706018745
LU,0.006500925769548564
LV,0.1370294395860961
NL,0.3587713262633896
NO,0.3129783863250877
PL,1.5095959785507855
PT,0.870538600484993
RO,0.26736864480365685
SE,0.19000738084248667
SI,0.20857022578413195
SK,0.202180890921493
UK,3.5543126436418446
