year,capex_specific_conversion
2022,1200.0
2023,1200.0
2024,1200.0
2025,1200.0
2026,1190.0
2027,1180.0
2028,1170.0
2029,1160.0
2030,1150.0
2031,1140.0
2032,1130.0
2033,1120.0
2034,1110.0
2035,1100.0
2036,1090.0
2037,1080.0
2038,1070.0
2039,1060.0
2040,1050.0
2041,1045.0
2042,1040.0
2043,1035.0
2044,1030.0
2045,1025.0
2046,1020.0
2047,1015.0
2048,1010.0
2049,1005.0
2050,1000.0
