node,year_construction,capacity_existing
AT,2002,0.01962925331655458
AT,2003,0.01962925331655458
AT,2004,0.01962925331655458
AT,2005,0.01962925331655458
AT,2006,0.01962925331655458
AT,2007,0.01962925331655458
AT,2008,0.01962925331655458
AT,2009,0.01962925331655458
AT,2010,0.01962925331655458
AT,2011,0.01962925331655458
AT,2012,0.01962925331655458
AT,2013,0.01962925331655458
AT,2014,0.01962925331655458
AT,2015,0.01962925331655458
AT,2016,0.01962925331655458
AT,2017,0.01962925331655458
AT,2018,0.01962925331655458
AT,2019,0.01962925331655458
AT,2020,0.01962925331655458
AT,2021,0.01962925331655458
AT,2022,0.01962925331655458
BE,2002,0.033247107962703894
BE,2003,0.033247107962703894
BE,2004,0.033247107962703894
BE,2005,0.033247107962703894
BE,2006,0.033247107962703894
BE,2007,0.033247107962703894
BE,2008,0.033247107962703894
BE,2009,0.033247107962703894
BE,2010,0.033247107962703894
BE,2011,0.033247107962703894
BE,2012,0.033247107962703894
BE,2013,0.033247107962703894
BE,2014,0.033247107962703894
BE,2015,0.033247107962703894
BE,2016,0.033247107962703894
BE,2017,0.033247107962703894
BE,2018,0.033247107962703894
BE,2019,0.033247107962703894
BE,2020,0.033247107962703894
BE,2021,0.033247107962703894
BE,2022,0.033247107962703894
BG,2002,0.008807591748000752
BG,2003,0.008807591748000752
BG,2004,0.008807591748000752
BG,2005,0.008807591748000752
BG,2006,0.008807591748000752
BG,2007,0.008807591748000752
BG,2008,0.008807591748000752
BG,2009,0.008807591748000752
BG,2010,0.008807591748000752
BG,2011,0.008807591748000752
BG,2012,0.008807591748000752
BG,2013,0.008807591748000752
BG,2014,0.008807591748000752
BG,2015,0.008807591748000752
BG,2016,0.008807591748000752
BG,2017,0.008807591748000752
BG,2018,0.008807591748000752
BG,2019,0.008807591748000752
BG,2020,0.008807591748000752
BG,2021,0.008807591748000752
BG,2022,0.008807591748000752
CH,2002,0.00851343937148307
CH,2003,0.00851343937148307
CH,2004,0.00851343937148307
CH,2005,0.00851343937148307
CH,2006,0.00851343937148307
CH,2007,0.00851343937148307
CH,2008,0.00851343937148307
CH,2009,0.00851343937148307
CH,2010,0.00851343937148307
CH,2011,0.00851343937148307
CH,2012,0.00851343937148307
CH,2013,0.00851343937148307
CH,2014,0.00851343937148307
CH,2015,0.00851343937148307
CH,2016,0.00851343937148307
CH,2017,0.00851343937148307
CH,2018,0.00851343937148307
CH,2019,0.00851343937148307
CH,2020,0.00851343937148307
CH,2021,0.00851343937148307
CH,2022,0.00851343937148307
CZ,2002,0.016917539027693287
CZ,2003,0.016917539027693287
CZ,2004,0.016917539027693287
CZ,2005,0.016917539027693287
CZ,2006,0.016917539027693287
CZ,2007,0.016917539027693287
CZ,2008,0.016917539027693287
CZ,2009,0.016917539027693287
CZ,2010,0.016917539027693287
CZ,2011,0.016917539027693287
CZ,2012,0.016917539027693287
CZ,2013,0.016917539027693287
CZ,2014,0.016917539027693287
CZ,2015,0.016917539027693287
CZ,2016,0.016917539027693287
CZ,2017,0.016917539027693287
CZ,2018,0.016917539027693287
CZ,2019,0.016917539027693287
CZ,2020,0.016917539027693287
CZ,2021,0.016917539027693287
CZ,2022,0.016917539027693287
DE,2002,0.23615301632793345
DE,2003,0.23615301632793345
DE,2004,0.23615301632793345
DE,2005,0.23615301632793345
DE,2006,0.23615301632793345
DE,2007,0.23615301632793345
DE,2008,0.23615301632793345
DE,2009,0.23615301632793345
DE,2010,0.23615301632793345
DE,2011,0.23615301632793345
DE,2012,0.23615301632793345
DE,2013,0.23615301632793345
DE,2014,0.23615301632793345
DE,2015,0.23615301632793345
DE,2016,0.23615301632793345
DE,2017,0.23615301632793345
DE,2018,0.23615301632793345
DE,2019,0.23615301632793345
DE,2020,0.23615301632793345
DE,2021,0.23615301632793345
DE,2022,0.23615301632793345
DK,2002,0.0030014885680764575
DK,2003,0.0030014885680764575
DK,2004,0.0030014885680764575
DK,2005,0.0030014885680764575
DK,2006,0.0030014885680764575
DK,2007,0.0030014885680764575
DK,2008,0.0030014885680764575
DK,2009,0.0030014885680764575
DK,2010,0.0030014885680764575
DK,2011,0.0030014885680764575
DK,2012,0.0030014885680764575
DK,2013,0.0030014885680764575
DK,2014,0.0030014885680764575
DK,2015,0.0030014885680764575
DK,2016,0.0030014885680764575
DK,2017,0.0030014885680764575
DK,2018,0.0030014885680764575
DK,2019,0.0030014885680764575
DK,2020,0.0030014885680764575
DK,2021,0.0030014885680764575
DK,2022,0.0030014885680764575
EE,2002,0.00041968592372455197
EE,2003,0.00041968592372455197
EE,2004,0.00041968592372455197
EE,2005,0.00041968592372455197
EE,2006,0.00041968592372455197
EE,2007,0.00041968592372455197
EE,2008,0.00041968592372455197
EE,2009,0.00041968592372455197
EE,2010,0.00041968592372455197
EE,2011,0.00041968592372455197
EE,2012,0.00041968592372455197
EE,2013,0.00041968592372455197
EE,2014,0.00041968592372455197
EE,2015,0.00041968592372455197
EE,2016,0.00041968592372455197
EE,2017,0.00041968592372455197
EE,2018,0.00041968592372455197
EE,2019,0.00041968592372455197
EE,2020,0.00041968592372455197
EE,2021,0.00041968592372455197
EE,2022,0.00041968592372455197
EL,2002,0.00657334826635014
EL,2003,0.00657334826635014
EL,2004,0.00657334826635014
EL,2005,0.00657334826635014
EL,2006,0.00657334826635014
EL,2007,0.00657334826635014
EL,2008,0.00657334826635014
EL,2009,0.00657334826635014
EL,2010,0.00657334826635014
EL,2011,0.00657334826635014
EL,2012,0.00657334826635014
EL,2013,0.00657334826635014
EL,2014,0.00657334826635014
EL,2015,0.00657334826635014
EL,2016,0.00657334826635014
EL,2017,0.00657334826635014
EL,2018,0.00657334826635014
EL,2019,0.00657334826635014
EL,2020,0.00657334826635014
EL,2021,0.00657334826635014
EL,2022,0.00657334826635014
ES,2002,0.12900858603739124
ES,2003,0.12900858603739124
ES,2004,0.12900858603739124
ES,2005,0.12900858603739124
ES,2006,0.12900858603739124
ES,2007,0.12900858603739124
ES,2008,0.12900858603739124
ES,2009,0.12900858603739124
ES,2010,0.12900858603739124
ES,2011,0.12900858603739124
ES,2012,0.12900858603739124
ES,2013,0.12900858603739124
ES,2014,0.12900858603739124
ES,2015,0.12900858603739124
ES,2016,0.12900858603739124
ES,2017,0.12900858603739124
ES,2018,0.12900858603739124
