node,kt_yr
AT,168.43619551135527
BE,263.7196681664514
BG,108.81565539012347
CH,168.43619551135527
CZ,168.40595955794225
DE,1269.8817466525893
DK,119.03103380115662
EE,5.282333383955453
EL,7.228648048323717
ES,806.355312980166
FI,60.10722739431949
FR,728.5636813458074
HR,46.144685503709375
HU,49.169208929044025
IE,68.55123782115598
IT,957.3212155519819
LT,12.49250716813595
LU,0.9076995287708686
LV,23.04705660244408
NL,96.24891999188795
NO,60.10722739431949
PL,424.92361151495834
PT,197.19596286471386
RO,110.130012239019
SE,25.573687367302572
SI,55.659527700504576
SK,39.53711028288574
UK,1063.0507076768383
