year,capex_specific_conversion
2022,250.0
2023,250.0
2024,250.0
2025,250.0
2026,244.0
2027,238.0
2028,232.0
2029,226.0
2030,220.0
2031,220.0
2032,220.0
2033,220.0
2034,220.0
2035,220.0
2036,220.0
2037,220.0
2038,220.0
2039,220.0
2040,220.0
2041,220.0
2042,220.0
2043,220.0
2044,220.0
2045,220.0
2046,220.0
2047,220.0
2048,220.0
2049,220.0
2050,220.0
