year,opex_specific_fixed
2022,2.494
2023,2.494
2024,2.494
2025,2.494
2026,2.4864
2027,2.4788
2028,2.4712
2029,2.4636
2030,2.456
2031,2.4412
2032,2.4264
2033,2.4116
2034,2.3968000000000003
2035,2.382
2036,2.382
2037,2.382
2038,2.382
2039,2.382
2040,2.382
2041,2.3783000000000003
2042,2.3746
2043,2.3709000000000002
2044,2.3672
2045,2.3635
2046,2.3598000000000003
2047,2.3561
2048,2.3524000000000003
2049,2.3487
2050,2.345
