year,opex_specific_variable
2022,3.6
2023,3.6
2024,3.6
2025,3.6
2026,3.588
2027,3.576
2028,3.564
2029,3.552
2030,3.54
2031,3.5180000000000002
2032,3.496
2033,3.474
2034,3.452
2035,3.43
2036,3.43
2037,3.43
2038,3.43
2039,3.43
2040,3.43
2041,3.426
2042,3.422
2043,3.418
2044,3.414
2045,3.41
2046,3.406
2047,3.402
2048,3.398
2049,3.394
2050,3.39
