year,opex_specific_variable
2022,0.674
2023,0.674
2024,0.674
2025,0.674
2026,0.6676000000000001
2027,0.6612
2028,0.6548
2029,0.6484
2030,0.642
2031,0.639
2032,0.636
2033,0.633
2034,0.63
2035,0.627
2036,0.6238
2037,0.6206
2038,0.6174
2039,0.6142
2040,0.611
2041,0.6077
2042,0.6043999999999999
2043,0.6011
2044,0.5978
2045,0.5944999999999999
2046,0.5912
2047,0.5879
2048,0.5846
2049,0.5812999999999999
2050,0.578
