year,opex_specific_fixed
2022,39.5
2023,39.5
2024,39.5
2025,39.5
2026,39.34
2027,39.18
2028,39.02
2029,38.86
2030,38.7
2031,38.54
2032,38.38
2033,38.22
2034,38.06
2035,37.9
2036,37.74
2037,37.58
2038,37.42
2039,37.26
2040,37.1
2041,36.95
2042,36.800000000000004
2043,36.65
2044,36.5
2045,36.35
2046,36.2
2047,36.050000000000004
2048,35.9
2049,35.75
2050,35.6
