node,demand
AT,58.95726940639269
BE,161.69029680365296
BG,94.0789368869863
CH,0.0
CZ,134.9683789954338
DE,789.4634703196347
DK,18.807191780821917
EE,2.6609878739797397
EL,29.198059315068495
ES,485.6164383561644
FI,15.80990784589041
FR,313.61036089160615
HR,13.952857305936073
HU,56.45173687965274
IE,20.54794520547945
IT,693.7860018812868
LT,8.740973059360728
LU,7.726438356164382
LV,17.819280821917808
NL,162.32608548034133
NO,0.0
PL,411.4118918949772
PT,207.73735932267925
RO,47.45116164383561
SE,47.38739497716895
SI,10.489116697945205
SK,19.892614654787625
UK,0.0
