year,capex_specific_conversion
2022,565.0
2023,565.0
2024,565.0
2025,565.0
2026,561.0
2027,557.0
2028,553.0
2029,549.0
2030,545.0
2031,542.6
2032,540.2
2033,537.8
2034,535.4
2035,533.0
2036,530.6
2037,528.2
2038,525.8
2039,523.4
2040,521.0
2041,520.4
2042,519.8
2043,519.2
2044,518.6
2045,518.0
2046,517.4
2047,516.8
2048,516.2
2049,515.6
2050,515.0
