node,demand
AT,782.4397260273972
BE,1312.1398630136985
BG,615.0474267123287
CH,0.0
CZ,654.3034419965753
DE,4452.237716348173
DK,537.5369863013701
EE,19.94329109589041
EL,26.8972602739726
ES,3490.8087910589543
FI,334.7568493150685
FR,4623.213624681565
HR,308.9228366948314
HU,285.89608632494156
IE,321.95883933173974
IT,4722.344808412298
LT,60.94417808219178
LU,5.821917808219178
LV,144.50518076917808
NL,308.93046896483446
NO,0.0
PL,1573.4029904109586
PT,913.913549345
RO,276.87572285922323
SE,189.85094178082193
SI,223.74429223744292
SK,214.4062351764557
UK,0.0
