year,opex_specific_fixed
2022,114000.0
2023,106000.0
2024,98000.0
2025,90000.0
2026,88000.0
2027,86000.0
2028,84000.0
2029,82000.0
2030,80000.0
2031,78000.0
2032,76000.0
2033,74000.0
2034,72000.0
2035,70000.0
2036,68000.0
2037,66000.0
2038,64000.0
2039,62000.0
2040,60000.0
2041,60000.0
2042,60000.0
2043,60000.0
2044,60000.0
2045,60000.0
2046,60000.0
2047,60000.0
2048,60000.0
2049,60000.0
2050,60000.0
