node,year_construction,capacity_existing
AT,2022,0.5802250897578892
BE,2022,0.24774639400621504
BG,2022,0.4985764504801213
CH,2022,0.0
CZ,2022,0.7131256874755392
DE,2022,4.925514592789521
DK,2022,0.25588094677329903
EE,2022,0.08494389798066211
EL,2022,0.007347062111736936
ES,2022,0.0
FI,2022,0.3051737004053976
FR,2022,1.5153808227942513
HR,2022,0.23803844690020104
HU,2022,0.7181781647466959
IE,2022,0.0
IT,2022,1.5092090896039687
LT,2022,0.10570016617760289
LU,2022,0.023625424981195006
LV,2022,0.19961803682341875
NL,2022,1.1559032409165606
NO,2022,0.010275994832435971
PL,2022,0.9733732752226434
PT,2022,0.23607668530457557
RO,2022,0.8827952748193103
SE,2022,0.07471992055604686
SI,2022,0.08071629336640487
SK,2022,0.3454357912143277
UK,2022,1.4389811807910848
