node,capacity_limit
AT,336.87239102271053
BE,527.4393363329028
BG,217.63131078024693
CH,336.87239102271053
CZ,336.8119191158845
DE,2539.7634933051786
DK,238.06206760231325
EE,10.564666767910905
EL,14.457296096647434
ES,1612.710625960332
FI,120.21445478863897
FR,1457.1273626916147
HR,92.28937100741875
HU,98.33841785808805
IE,137.10247564231196
IT,1914.6424311039639
LT,24.9850143362719
LU,1.8153990575417371
LV,46.09411320488816
NL,192.4978399837759
NO,120.21445478863897
PL,849.8472230299167
PT,394.3919257294277
RO,220.260024478038
SE,51.147374734605144
SI,111.31905540100915
SK,79.07422056577148
UK,2126.1014153536767
