year,opex_specific_fixed
2022,1.442
2023,1.442
2024,1.442
2025,1.442
2026,1.4285999999999999
2027,1.4152
2028,1.4018
2029,1.3884
2030,1.375
2031,1.3682
2032,1.3614
2033,1.3546
2034,1.3477999999999999
2035,1.341
2036,1.3342
2037,1.3274
2038,1.3206
2039,1.3137999999999999
2040,1.307
2041,1.3003
2042,1.2935999999999999
2043,1.2869
2044,1.2802
2045,1.2734999999999999
2046,1.2668
2047,1.2601
2048,1.2534
2049,1.2467
2050,1.24
